Country,State,Locality,Latitude,Longitude,Species,Nota
Mexico,Guerrero,Amula,17.555068,-99.368664,Perithemis intensa,
Mexico,Guerrero,Amula,17.555068,-99.368664,Sympetrum illotum,
Mexico,Guerrero,Amula,17.555068,-99.368664,Sympetrum corruptum,
Mexico,Puebla,Atlihuacan,20.260555,-98.001389,Hetaerina americana,
Mexico,Puebla,Atlihuacan,20.260555,-98.001389,Erpetogomphus elaps,
Mexico,Puebla,Atlihuacan,20.260555,-98.001389,Perithemis tenera,
Mexico,Veracruz,Atoyac,18.912973,-96.778302,Hetaerina cruentata,
Mexico,Veracruz,Atoyac,18.912973,-96.778302,Hetaerina titia,
Mexico,Veracruz,Atoyac,18.912973,-96.778302,Hetaerina occisa,
Mexico,Veracruz,Atoyac,18.912973,-96.778302,Hetaerina infecta,
Mexico,Veracruz,Atoyac,18.912973,-96.778302,Cora marina,
Mexico,Veracruz,Atoyac,18.912973,-96.778302,Archilestes grandis,
Mexico,Veracruz,Atoyac,18.912973,-96.778302,Lestes tenuatus,
Mexico,Veracruz,Atoyac,18.912973,-96.778302,Megaloprepus latipennis,
Mexico,Veracruz,Atoyac,18.912973,-96.778302,Pseudostigma aberrans,
Mexico,Veracruz,Atoyac,18.912973,-96.778302,Mecistogaster ornata,
Mexico,Veracruz,Atoyac,18.912973,-96.778302,Mecistogaster modesta,
Mexico,Veracruz,Atoyac,18.912973,-96.778302,Argia funcki,
Mexico,Veracruz,Atoyac,18.912973,-96.778302,Argia percellulata,
Mexico,Veracruz,Atoyac,18.912973,-96.778302,Argia translata,
Mexico,Veracruz,Atoyac,18.912973,-96.778302,Argia pulla,
Mexico,Veracruz,Atoyac,18.912973,-96.778302,Argia ulmeca,
Mexico,Veracruz,Atoyac,18.912973,-96.778302,Argia oculata,
Mexico,Veracruz,Atoyac,18.912973,-96.778302,Argia oenea,
Mexico,Veracruz,Atoyac,18.912973,-96.778302,Argia tonto,
Mexico,Veracruz,Atoyac,18.912973,-96.778302,Argia extranea,
Mexico,Veracruz,Atoyac,18.912973,-96.778302,Apanisagrion lais,
Mexico,Veracruz,Atoyac,18.912973,-96.778302,Enallagma novaehispaniae,
Mexico,Veracruz,Atoyac,18.912973,-96.778302,Acanthagrion quadratum,
Mexico,Veracruz,Atoyac,18.912973,-96.778302,Leptobasis vacillans,
Mexico,Veracruz,Atoyac,18.912973,-96.778302,Palaemnema paulina,
Mexico,Veracruz,Atoyac,18.912973,-96.778302,Palaemnema angelina,
Mexico,Veracruz,Atoyac,18.912973,-96.778302,Protoneura aurantiaca,
Mexico,Veracruz,Atoyac,18.912973,-96.778302,Phyllogomphoides suasus,
Mexico,Veracruz,Atoyac,18.912973,-96.778302,Erpetogomphus viperinus,
Mexico,Veracruz,Atoyac,18.912973,-96.778302,Erpetogomphus ophiobolus,
Mexico,Veracruz,Atoyac,18.912973,-96.778302,Agriogomphus tumens,
Mexico,Veracruz,Atoyac,18.912973,-96.778302,Rhionaeschna cornigera,
Mexico,Veracruz,Atoyac,18.912973,-96.778302,Aeshna viridis,
Mexico,Veracruz,Atoyac,18.912973,-96.778302,Triacanthagyna trifida,
Mexico,Veracruz,Atoyac,18.912973,-96.778302,Gynacantha tibiata,
Mexico,Veracruz,Atoyac,18.912973,-96.778302,Libellula herculea,
Mexico,Veracruz,Atoyac,18.912973,-96.778302,Pseudoleon superbus,
Mexico,Veracruz,Atoyac,18.912973,-96.778302,Tholymis citrina,
Mexico,Veracruz,Atoyac,18.912973,-96.778302,Micrathyria didyma,
Mexico,Veracruz,Atoyac,18.912973,-96.778302,Micrathyria dissocians,
Mexico,Veracruz,Atoyac,18.912973,-96.778302,Micrathyria ocellata,
Mexico,Veracruz,Atoyac,18.912973,-96.778302,Micrathyria aequalis,
Mexico,Veracruz,Atoyac,18.912973,-96.778302,Orthemis ferruginea,
Mexico,Veracruz,Atoyac,18.912973,-96.778302,Orthemis levis,
Mexico,Veracruz,Atoyac,18.912973,-96.778302,Cannaphila vibex,
Mexico,Veracruz,Atoyac,18.912973,-96.778302,Anatya guttata,
Mexico,Veracruz,Atoyac,18.912973,-96.778302,Erythrodiplax funerea,
Mexico,Veracruz,Atoyac,18.912973,-96.778302,Erythrodiplax umbrata,
Mexico,Veracruz,Atoyac,18.912973,-96.778302,Erythrodiplax fervida,
Mexico,Veracruz,Atoyac,18.912973,-96.778302,Erythrodiplax fusca,
Mexico,Veracruz,Atoyac,18.912973,-96.778302,Erythrodiplax fusca,
Mexico,Veracruz,Atoyac,18.912973,-96.778302,Dythemis sterilis,
Mexico,Veracruz,Atoyac,18.912973,-96.778302,Brechmorhoga vivax,
Mexico,Veracruz,Atoyac,18.912973,-96.778302,Brechmorhoga praecox,
Mexico,Veracruz,Atoyac,18.912973,-96.778302,Brechmorhoga pertinax,
Mexico,Veracruz,Atoyac,18.912973,-96.778302,Brechmorhoga inequiunguis,
Mexico,Veracruz,Atoyac,18.912973,-96.778302,Macrothemis pseudimitans,
Mexico,Veracruz,Atoyac,18.912973,-96.778302,Macrothemis hemichlora,
Mexico,Veracruz,Atoyac,18.912973,-96.778302,Miathyria simplex,
Mexico,Veracruz,Atoyac,18.912973,-96.778302,Tauriphila azteca,
Mexico,Veracruz,Atoyac,18.912973,-96.778302,Perithemis domitia,
Mexico,Veracruz,Atoyac,18.912973,-96.778302,Perithemis tenera,
Mexico,Veracruz,Atoyac,18.912973,-96.778302,Erythemis peruviana,
Mexico,Veracruz,Atoyac,18.912973,-96.778302,Erythemis attala,
Mexico,Veracruz,Atoyac,18.912973,-96.778302,Erythemis plebeja,
Mexico,Veracruz,Atoyac,18.912973,-96.778302,Erythemis vesiculosa,
Mexico,Veracruz,Atoyac,18.912973,-96.778302,Argia frequentula,
Mexico,Guerrero,Balsas,17.99564,-99.768021,Argia tezpi,
Mexico,Guerrero,Balsas,17.99564,-99.768021,Argia pulla,
Mexico,Guerrero,Balsas,17.99564,-99.768021,Argia harknessi,
Mexico,Guerrero,Balsas,17.99564,-99.768021,Enallagma novaehispaniae,
Mexico,Guerrero,Balsas,17.99564,-99.768021,Protoneura cara,
Mexico,Guerrero,Balsas,17.99564,-99.768021,Dythemis sterilis,
Mexico,Guerrero,Balsas,17.99564,-99.768021,Macrothemis pseudimitans,
Mexico,Nayarit,Barranca Blanca,21.563053,-104.961014,Mecistogaster ornata,
Mexico,San Luis Potosi,Hacienda de Bledos,22.10975,-100.848737,Archilestes grandis,
Mexico,Nuevo Leon,Caderita,25.585988,-99.996817,Macromia sp. ,"Immature, don´t include"
Mexico,Veracruz,Camaron,19.006754,-96.613853,Pseudoleon superbus,
Mexico,Veracruz,Camaron,19.006754,-96.613853,Perithemis tenera,
Mexico,Campeche,Campeche,19.830125,-90.534909,Ischnura ramburii,
Mexico,Campeche,Campeche,19.830125,-90.534909,Micrathyria didyma,
Mexico,Campeche,Campeche,19.830125,-90.534909,Erythemis mithroides,
Mexico,Jalisco,El Castillo,20.512645,-103.238467,Aphylla protracta,
Mexico,Jalisco,El Castillo,20.512645,-103.238467,Libellula nodisticta,
Mexico,Jalisco,El Castillo,20.512645,-103.238467,Micrathyria didyma,
Mexico,Jalisco,El Castillo,20.512645,-103.238467,Erythrodiplax fusca,
Mexico,Jalisco,El Castillo,20.512645,-103.238467,Pachydiplax longipennis,
Mexico,Jalisco,Chapala,20.297125,-103.188946,Argia moesta,
Mexico,Jalisco,Chapala,20.297125,-103.188946,Ischnura ramburii,
Mexico,Jalisco,Chapala,20.297125,-103.188946,Remartinia luteipennis,
Mexico,Distrito Federal,Chapultepec,19.421533,-99.184761,Ischnura denticollis,
Mexico,Distrito Federal,Chapultepec,19.421533,-99.184761,Libellula nodisticta,
Mexico,Distrito Federal,Chapultepec,19.421533,-99.184761,Sympetrum illotum,
Mexico,Distrito Federal,Chapultepec,19.421533,-99.184761,Pachydiplax longipennis,
Mexico,Veracruz,Chavarrillo,19.424946,-96.794085,Argia oenea,
Mexico,Veracruz,Chavarrillo,19.424946,-96.794085,Hetaerina cruentata,
Mexico,Veracruz,Chavarrillo,19.424946,-96.794085,Hetaerina occisa,
Mexico,Veracruz,Chavarrillo,19.424946,-96.794085,Argia funcki,
Mexico,Veracruz,Chavarrillo,19.424946,-96.794085,Argia fissa,
Mexico,Yucatan,Chichen Itza,20.682372,-88.569435,Orthemis ferruginea,
Mexico,Yucatan,Chichen Itza,20.682372,-88.569435,Perithemis intensa,
Mexico,Chihuahua,Chihuahua,28.633,-106.069086,Erpetogomphus crotalinus,
Mexico,Chihuahua,Chihuahua,28.633,-106.069086,Hetaerina americana,
Mexico,Chihuahua,Chihuahua,28.633,-106.069086,Libellula saturata,
Mexico,Guerrero,Chilpancingo,17.551546,-99.500639,Hetaerina americana,
